"","s2015","s2050","s3013","s3016","s3029","s4001","s4005","s4007","s4016","s6017","s7005","s7011","s7039","s7041","s7064","s7071","s2003","s2017","s2023","s3037","s4018","s4028","s5014","s6011","s6016","s7012","s7025","s7033","s7065","s7067","s2006","s2007"
"NEG1",2.152618572,3.042540178,1.95830246,2.409626191,2.081794245,2.219185932,2.804776492,2.794767441,2.247958501,2.372869169,2.718241681,1.920689151,2.083543841,2.965442623,2.843384062,2.633927603,1.906073715,1.754826508,2.218407158,2.755361667,2.169490428,2.090961106,1.926985458,1.858742531,2.698037554,2.348615214,2.126937892,2.203069074,1.923525661,2.435049131,2.451134689,1.994973064
"NEG4",2.108161143,1.462498621,1.212578487,1.834689564,1.074519231,1.427590388,0.993888225,1.507043124,1.300374915,0.400636756,1.582854437,1.659336207,2.194245789,1.425229326,2.323849228,1.382101334,1.563229112,1.589895945,2.675400401,1.286589066,1.546320658,1.564612609,2.699895883,2.591749262,2.173686044,3.013811708,2.190413972,2.006328007,2.419657431,1.755042226,1.847520515,1.511804221
"NEG5",17.84301324,21.19521969,19.21305089,23.63315596,13.1199736,17.22185808,17.66195297,12.66279528,13.54186851,9.61011265,25.95864648,17.01344512,19.09608235,19.97934014,19.40006012,21.05174672,20.78497743,17.85570899,23.96169332,23.1110106,19.59609976,15.21361819,25.61443744,31.65257239,25.78216273,26.46347201,20.13255852,25.17057719,33.32385079,22.11235624,23.2119087,15.01760938
"NEG7",0.600800969,0.269464269,0.244827184,0.602856385,0.225181145,0.282286463,0.389461106,0.347676901,0.272453435,0.126156321,0.355054939,0.554598967,0.748296219,0.325757558,0.17833834,0.51776219,0.683200633,0.227383283,0.421066671,0.173535864,0.424634341,1.014921679,0.428650198,0.543287075,0.825373637,1.298676101,0.423801558,0.582754926,0.426189961,0.626729873,0.6356497,0.597849798
"POS7",2.711736715,3.711448908,3.369490516,2.761742659,3.06385447,3.544513433,4.43313127,4.060714455,3.372900499,4.129718959,2.829827035,3.686271364,2.685761717,3.862223432,3.521230509,3.343440577,2.595216485,2.531380942,3.519977956,4.122393048,2.900473199,3.090726,2.670685693,2.711530901,3.268745242,3.256049503,3.506040923,3.173404101,2.684408375,3.16024854,3.264591564,2.913598811
"NEG9",1.249100785,1.040185176,2.576092913,1.480338622,1.141858209,2.548360182,2.497490352,1.729160721,1.743437943,1.460709801,2.565552657,1.448051714,1.569807918,1.525235908,2.035821705,1.595530359,2.289703218,1.875178941,1.604616074,1.744086262,2.259483939,1.607239921,2.761579697,2.159514804,2.242218911,2.368220785,2.098477297,2.472371421,1.657547232,2.730782054,2.74729563,1.568605331
"NEG36",9.018791847,1.224506338,31.1528525,16.58634483,10.66919196,15.06973245,13.9906926,17.32873854,16.78806948,15.00534288,7.079558908,19.52191565,14.38159927,12.64314778,8.998448022,15.97029667,48.93484902,41.75792466,14.88153902,16.51199904,12.74483954,25.5406948,19.30795037,9.249137241,14.5901478,9.123518983,47.5455996,21.63314687,20.74612911,14.64523876,13.80282725,29.87885023
"POS41",3.414261231,4.870473347,4.365037324,4.096916613,4.525075549,5.258102413,5.236033872,5.250522249,4.989611864,4.071224486,4.262042361,5.161039146,4.008271041,5.142414859,4.110719852,4.31082011,3.614674872,3.756427031,4.452196676,4.549395951,3.9322351,3.872337372,3.753734275,3.797441582,4.48356801,4.310437874,4.398230124,4.523122464,3.868542889,4.84430896,4.257186616,4.092980375
"NEG40",0.147517713,0.144933129,0.16453983,0.255957323,0.217429376,0.246751435,0.187913764,0.17193661,0.164260683,0.198394894,0.216151654,0.178631716,0.197662182,0.168512371,0.14908101,0.175763117,0.206764992,0.135821244,0.252168128,0.184459851,0.189691373,0.178949192,0.29528243,0.234877773,0.251149536,0.257062402,0.17207959,0.241149514,0.177733772,0.245201238,0.190033272,0.216232899
"NEG55",0.053749073,0.02586651,0.162193934,0.103048106,0.103290922,0.135368689,0.045486464,0.048195529,0.12261011,0.023515287,0.070309606,0.125847269,0.125376423,0.071123076,0.056079331,0.154553067,0.318700047,0.638973689,0.048153343,0.05846923,0.139614591,0.434140359,0.174133079,0.368739229,0.094588933,0.107343109,0.101161482,0.22035578,0.10576779,0.070163076,0.097815203,0.111559233
"POS83",0.151063967,0.182217409,0.190392918,0.123553136,0.199647447,0.21015076,0.138806266,0.231147218,0.177438317,0.177885539,0.209097565,0.224323887,0.109297416,0.176944001,0.269377663,0.245080957,0.19467124,0.178825198,0.149612365,0.12962146,0.135977692,0.143626473,0.166795277,0.119466626,0.184341475,0.134293311,0.165923614,0.209656138,0.152313445,0.139340035,0.135235492,0.179655761
"NEG90",0.011406411,0.003814323,0.008789039,0.025860592,0.011319438,0.003869433,0.003230229,0.027779717,0.016574345,0.004646725,0.029186611,0.013501004,0.017080062,0.009291536,0.006117674,0.010664575,0.030828966,0.023362948,0.008620066,0.003279556,0.024658896,0.004074917,0.038389698,0.030389593,0.030462692,0.030117399,0.01525828,0.020690255,0.009925019,0.018932008,0.012437978,0.01852244
"NEG100",0.079476796,0.079989759,0.074541304,0.089901951,0.092301593,0.068368143,0.056720982,0.079479686,0.079480423,0.057820352,0.10015803,0.056368709,0.089118652,0.075152997,0.036502426,0.08408492,0.085412473,0.079366341,0.09121577,0.072528723,0.09915228,0.077598425,0.092317141,0.078435553,0.084621763,0.082136763,0.070084724,0.072906354,0.07414069,0.09919389,0.108615328,0.10934888
"POS203",0.011392109,0.024668703,0.005483076,0.015737065,0.005014703,0.0121834,0.017466466,0.038716567,0.018701021,0.00317689,0.01519996,0.014140746,0.010757024,0.024918815,0,0.010456216,0.035812906,0.035750575,0.005139461,0.016112415,0.032920548,0.035240971,0.012315641,0.034831473,0.012463531,0.031745323,0.014060787,0.020114798,0.025732709,0.029625674,0.062624246,0.01333823
"POS269",0.164183263,0.17736907,0.180133583,0.157095834,0.231885506,0.124877893,0.101787667,0.173934206,0.248905518,0.161352052,0.180961,0.133792994,0.282745952,0.177166391,0.142027373,0.246769161,0.255456756,0.271424086,0.160986114,0.132963782,0.240821273,0.162359256,0.262692487,0.183080983,0.243271178,0.276481095,0.209453686,0.161971466,0.229684412,0.267244289,0.32581616,0.221571403
"NEG147",0.008476341,0.01516964,0.008225195,0.01428856,0.018874521,0.012041603,0.016723848,0.021908719,0.021378816,0.01034892,0.023583761,0.01659604,0.020010908,0.014876698,0.010612114,0.015005142,0.025428616,0.025905262,0.010057009,0.012126244,0.030627013,0.00999251,0.026123386,0.031654618,0.032242582,0.022277993,0.015159177,0.022720016,0.008872503,0.02634917,0.022405161,0.025233332
"POS337",0.310827074,0.412994625,0.499314761,0.245498715,0.471461604,0.279733429,0.202867758,0.346402008,0.457657484,0.273739748,0.40811493,0.313202202,0.509687757,0.299880274,0.448866876,0.475669363,0.440990288,0.542575772,0.733848498,0.296136536,0.400931894,0.285106612,0.506654466,0.39080609,0.504881878,0.498084171,0.379396185,0.345773137,0.598837239,0.494312232,0.517946396,0.411930676
