ID,kidon,phylum,class,order,family,genus,s2003,s2005,s2006,s2007,s2015,s2017,s2019,s2021,s2023,s2050,s3013,s3016,s3017,s3029,s3037,s4001,s4005,s4007,s4016,s4018,s4028,s4029,s4032,s5001,s5010,s5011,s5014,s5026,s5030,s6010,s6011,s6016,s6017,s7005,s7006,s7011,s7012,s7014,s7022,s7025,s7033,s7039,s7041,s7064,s7065,s7067,s7071,s2002,s2004,s2008,s2014,s2033,s2047,s2051,s3009,s3012,s3018,s3020,s3021,s3025,s3026,s3039,s3041,s4023,s4030,s4033,s4034,s5007,s5009,s5012,s5020,s5022,s5028,s5032,s6001,s6006,s6013,s6022,s6025,s7002,s7010,s7013,s7015,s7036,s7038,s7042,s7046,s7047,s7048,s7049,s7050,s7056,s7057,s7058,s2009,s2012,s2013,s2024,s2027,s2037,s2041,s2042,s2044,s2045,s2048,s2049,s3002,s3007,s3010,s3040,s4003,s4010,s4012,s4013,s4014,s4015,s4019,s4022,s5004,s5017,s5018,s5019,s5021,s5024,s5025,s5034,s6008,s6009,s6012,s6018,s6019,s6020,s6026,s6031,s6032,s6033,s7019,s7052,s7068,s7070
s__Bacteroides_uniformis,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,8.1695982,39.9751255,0.0469412,0.00314,0,0.657537,0.4470901,0.061937,0.0774002,0.5236849,2.4340619,4.76215,0.0034715,3.1889736,6.0875353,3.9711576,0.08723,1.2036121,10.544707,2.3842992,0.0413301,0.00327017,0,4.7500088,5.7762646,0.10554,0.5484975,11.0892806,27.4438227,0.4098842,0,1.8155198,1.1076729,16.1018584,6.8628921,3.2799003,37.8101751,6.9334082,0.1844462,0,2.6051705,0.00738066,0.03824,0.04657,28.6899316,1.4916199,24.9091925,22.9857022,2.9405298,0.31942,0.07534,1.2826577,2.9489112,1.6021797,2.5684883,13.3134398,1.0547393,15.3815646,4.7837456,0.0366129,0.8815876,8.8300349,0.6737702,0,0.1029107,0.6246301,0,6.89748,0.1737399,24.1228321,3.2603009,13.3513574,6.4301797,9.8935468,0.0174202,0.2100444,0.5953796,1.739,44.8171245,2.1987598,7.4328302,0,0.8789917,7.6956599,0,0,16.6989996,29.00993,0.4225952,0.2703055,1.0205978,1.9811537,0.2218324,0.1122991,0.15703,22.1155493,1.0586403,0.9944203,0.8934902,28.11544,1.341363,1.4114244,0.1414099,0.1475393,11.4979893,0.9328698,2.1127694,5.7626115,6.8351741,11.6289227,1.0014767,0.0646618,1.8565306,2.0484495,1.5037303,4.1044534,2.66472,14.1415615,0.00447,1.2169647,23.2006289,0.0226819,2.5667272,0,2.233601,0.00438079,2.5903892,0.6027141,44.7485097,5.1211544,4.2263006,20.123912,0.1165535,9.3990806,7.0610907,0.2036,0.198142,1.5182357,3.6409707,22.7133461
s__Bacteroides_stercoris,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,10.7969574,0,0.1589398,0.04638,7.8609408,0.3014132,17.3351052,0.7304922,2.8495377,0,1.2327249,10.8455794,0,0,4.4519336,8.7664647,0,5.6051285,3.3026075,12.1593309,5.3770958,0,0,13.0739171,37.0606816,4.96741,10.9223565,0,2.0959002,0.7094742,21.6049843,0,0,26.4651074,28.4737985,36.3165336,0,0,0,0,11.8594124,0,0,0,0,0,0,0.00643034,0,0,0.03567,3.2092543,8.2775533,2.1843296,4.0880885,8.2028857,0.1877254,0,0.0613759,0.0652952,0.2863792,0.811555,4.8391715,0,0.154451,30.050393,0.0104616,0,0,6.9277128,1.1930002,1.8962433,28.3934814,27.1497228,0.00767009,13.5470455,0,4.55563,0,3.1377097,1.3653082,0,0.2128546,0,0,0.0358303,0.4881296,0,1.4607717,20.5471555,0.000210045,0,10.3941912,0.2363803,0.3903799,0,9.3104628,15.8088147,15.7957332,9.54997,1.0630387,0,13.0947221,0.00275017,14.6151897,18.2400064,16.623725,0.4825648,12.4946702,2.6134407,0,1.5845645,0,0.026644,4.5165009,21.9180123,0.00999142,0,0,0.4022942,0,0.5721889,1.7246685,0,26.8276254,0.0172931,0,2.1784348,0,8.1662614,0.7541997,6.6708773,1.8285812,1.9231257,4.2775904,3.31193,1.2168422,0,57.1464014,12.751551
s__Prevotella_copri,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,0.000910066,0,33.672959,66.3603199,28.4995328,34.3623342,0,3.073814,0,0,2.6666,0.4460666,0,0,0,13.8388617,0,0,0,0,0,0,0,0,0,41.04783,0,0,0,6.9165654,0,6.4805594,0,0,0,0,0,0,0,0,0,14.5535753,0,0,0,0,0,0,0.000140038,53.0990247,62.9127726,0,0,0,0,0,1.6429712,0,0,14.1411314,24.773793,0,6.619262,0,14.1172537,0,0,0,1.3329469,0,0,0,0,0,0.2318127,0.000400047,40.3513058,0,0,0,0,0,2.2313882,2.1540725,0,0,2.8789154,0.00148,0,0,0,3.3109738,0,2.218388,55.8922032,0,0,0,0,0,28.0897139,0,0,7.5050036,0,0,0,14.745936,0,0.6286647,7.6306425,74.8808042,0,7.7643883,0,0,0,0,0,3.2785962,0,6.9474433,0,0,0,0,0,8.4737076,0,0.00151009,2.9384518,0,24.4392727,0,0,0,0,0,0,0
s__Faecalibacterium_prausnitzii,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,4.4078474,4.3799259,5.8400244,3.8724712,1.4827501,2.7789995,0.13019,0.6690164,5.2768242,0,10.1359019,1.494722,0,4.1705089,4.1845284,3.2028981,0,0.925657,8.4220751,7.5932033,3.6012412,0.1942198,1.324226,2.343276,0.00525657,2.37249,4.1935081,12.172808,6.5181807,7.7584309,6.4784211,4.6922395,0,6.9193293,4.3270913,5.5132006,0.8182403,4.8271926,0,15.6500055,1.6411003,16.9280966,1.3791003,8.8998818,0,1.2361699,5.9109206,7.4829214,26.6349541,1.3996799,7.0753714,3.044082,7.8406031,8.7789682,0.5371685,4.869503,10.283441,5.6327596,3.148287,4.1627801,5.3184386,2.0639844,4.1390612,0,5.4317168,3.4200203,0,2.06316,1.9594379,3.8014469,7.2264545,7.2481803,5.7769342,9.3738065,0.3658843,2.7140456,1.3560692,7.35369,3.0640824,11.5011288,5.9154621,3.8190208,2.5075101,5.404764,3.2620503,0.0062427,4.813333,4.80491,0.000160013,2.2338304,5.8821953,5.8481203,22.2748283,4.8924937,3.9242288,8.0599737,14.7381444,4.8808915,5.4627211,1.15258,7.6102951,4.7804588,1.4398691,5.6754781,1.3260341,6.0635788,10.6112668,3.5923738,0.5138741,1.4737852,1.8088019,1.8184611,8.0038456,8.9177848,9.3981519,2.817031,1.3450118,7.0544856,1.2304801,1.2463409,1.8835906,4.3228792,5.8026994,2.318895,9.086431,0.2507753,3.5643289,3.9190866,2.0017103,4.6129832,3.6922313,3.3298787,11.1678399,11.1712399,8.4064708,2.62632,22.4166942,0.4340931,0,4.1501321
s__Alistipes_putredinis,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,14.9218644,0,4.1328165,0.01511,0,0.0427905,17.0630651,2.029125,0.1453404,0,16.7248265,8.2188308,0,0,1.1812402,10.072404,0,0.4629285,2.6926839,2.309875,0,0,0,7.0814717,3.0611212,9.71609,2.0902285,0.077562,5.2841105,5.5830544,0,0.40181,0,0,0,0,0,0,0,7.5479616,19.6629939,0.4217775,0.03238,0,0,0.9500899,2.5778203,0,0,0,0.22627,5.0178792,1.4010406,0.19774,4.8947473,0,2.1963474,6.6560458,4.9781973,0.0639951,4.5672798,3.4510576,11.7498835,0,2.8522753,0,0,0,0.3426728,11.5370376,0,0,0,7.6558063,0.0181402,0,5.3381168,9.64745,0,9.924469,12.0424679,0,7.1955125,14.3719706,0,0,8.3927365,0,0,5.3053298,9.3547863,13.3119429,1.4069051,17.3317833,5.4159484,0,0.08199,8.4402425,5.3604811,4.90007,16.2475789,15.8624218,21.4384571,17.1249906,5.8225019,1.7498097,7.2848478,12.1745075,0.1919889,17.031195,15.2167371,3.7777862,21.1906574,6.7562361,7.3338215,0,0.00664095,0,0.08087,10.6614414,12.4967373,8.0841704,12.6872729,0,6.1804071,0.0021904,0.4567199,8.8596602,0,0.00459028,10.255205,4.2472083,0.3629119,10.9066606,10.389001,10.13266,6.0625406,12.8461967,0,0
s__Bacteroides_vulgatus,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,1.9574009,0,0.3820638,0.13472,0,0.0459705,0.2397901,0.2815138,9.0905245,44.8293014,0.2077081,0,0,36.6320358,6.1058218,3.5185279,80.022154,0.2641534,1.8351808,8.0006786,2.6908685,0.6654137,5.4018885,1.1845014,5.1376432,0.79059,8.839149,28.538192,10.8143711,1.3535837,2.6539525,1.2382799,0.2879389,0,5.3859416,3.6519904,25.3806002,0.9528495,0,0.1676598,0.3489601,0,0.11138,0,0,0,1.1347501,0.7693302,0,0.7569399,0.4770701,1.3184482,4.7218319,1.4223697,7.840524,18.2678267,0.3672201,10.3608347,9.4421457,0.0940775,0.5004857,26.6204359,0.8316702,0,0.1132988,11.1640811,0,1.67773,0.2615762,0.7823207,0.3674763,2.1815064,3.7221949,5.0145523,0.0980911,11.8063831,0.7126796,0.82044,0,0.8359799,0.00215014,32.5071465,0,3.7270511,1.5492902,0.000953467,1.3307534,10.5556,1.2061005,1.0982135,2.1058894,0.9185137,2.3461851,0.1215107,1.0575797,0,0.4499001,0,0.00014,8.11745,0,0.2887929,0.2479299,1.997496,1.3998017,5.173829,0.11982,0.1992007,16.9019226,1.1320146,0,0.3895709,0.5994651,0.2297153,0.4512001,2.3491492,0.7612185,3.9094064,0.00431,0.5477346,0.00106006,0.00896077,2.68904,32.9610625,15.9552543,1.0367074,31.2511106,0.9428564,2.2581716,2.6268613,1.0458623,9.4360362,0.0637174,4.3780544,4.9298305,0,8.9693597,0,2.8036306,1.4603811
s__Eubacterium_rectale,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Eubacterium,12.1974682,0.8281381,15.5387353,3.6547711,0,0.7647881,0.10714,7.1177578,0.0237701,0,0.6885671,0.3199247,0,9.0726685,16.6054165,2.5816685,0,0,1.3444619,10.6539807,30.6856288,9.6463691,0,11.0736012,5.077255,1.58569,1.5781717,4.7903212,11.2702411,18.3216533,8.231515,0.28669,0,0,8.5460526,0,0,12.1203708,0,7.914983,0.00742,38.5660624,20.6692441,2.2625605,0,0,19.559202,0,3.9391481,0.8747199,7.9254416,1.5857319,7.440123,7.2731785,0.4425199,1.7366995,1.3148051,5.4626969,0.00479214,6.3397727,3.7159259,7.0141349,0.1733901,0,8.2101843,7.2576807,0,8.81948,0.2961058,3.6826611,1.9539818,21.9062911,0,1.2270415,0.0188802,0.3575316,8.290465,0.63782,1.7638208,3.9867696,0,11.5803623,3.3875819,2.981759,0,0,1.6087445,4.16496,0,13.4017224,10.3214126,7.1142732,0,3.0102529,2.3905793,4.3033956,7.8343724,7.6271723,5.6813211,2.30605,0.7814372,0.000220002,0.2686398,0.1670605,9.8933344,1.3416197,2.7905792,1.9357567,5.9401829,0.5484152,0,0.567876,0,1.4420311,14.3369329,0,0.00975139,10.5091677,0,0.2209863,0,5.0535516,0.0141303,0,0.5369735,0.7217205,0,0.5009234,0.2146329,6.4763877,3.3222016,3.2527987,0,0.1649301,1.2874901,4.78422,9.5343453,2.2233869,0,0.8144497
s__Ruminococcus_bromii,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,4.1706803,0.0543512,1.0620142,0,0,0,1.2446204,2.2715497,0.2626007,0,3.4204949,1.7822862,0,0,34.751111,0.3908498,1.1733398,19.3406447,1.7412672,11.304509,15.4957518,0.000180009,0,0,0,0,5.3231567,1.6684722,1.3610501,0.00711055,1.1036517,0.00964,0.9376017,3.4771897,17.7354953,5.8554106,0.4706302,14.1402493,0,0.4385057,2.0107404,0.00970086,2.0640104,28.6993157,0,0,1.7397802,9.5142176,0,0.44279,0.9005502,0,34.4251738,7.5747385,0,0,0.3700364,7.2522753,2.4384822,1.0156005,0.00152069,0,2.2243807,0,23.4838243,1.4683001,0,4.75514,0,0.6844116,0.1676676,6.2251297,9.9562569,0,0.0964611,13.000652,1.1709993,0,0,0.00014,7.5245461,2.1108204,0.3674725,0.000360325,0.03773,0,0.0917237,28.96188,0,3.6596747,3.2166364,4.2733425,0,9.2458755,0.4878799,1.1618998,3.5411911,11.1932734,5.5323711,0,1.6200944,27.4983305,3.8394177,4.628322,0,0,0.00483,2.6349147,3.0275231,7.2600532,2.8276432,0.7625414,11.6408898,1.9965344,1.5416803,0,0.0049007,7.9028935,1.7889302,12.9554216,4.2038245,0,3.2495825,0,0,0,0,0.8174256,4.1719844,4.348467,0.6562684,2.8232589,0,0.000160272,3.4339603,0,0,4.7876041,0,7.0801848
s__Subdoligranulum_unclassified,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Subdoligranulum,1.8934563,0.2849862,2.3662119,0.5985002,0,0.3377736,0.3630501,0.4582118,5.0062935,0,1.0477027,2.0600903,0.00307132,0.4675484,0.4823216,6.1623263,0.11461,0.3931397,3.6393605,0.4420785,3.3942606,10.276131,0,1.0283103,3.1172398,1.18671,0.1581771,0.2640767,0.8916001,2.7660863,0.2913489,2.5195697,4.908653,0.43492,5.8693518,3.4929003,0.4714002,0.3799317,0.00593647,0.4116241,3.9894708,0.9305928,0.5392401,4.2789209,0.0734007,0.42353,2.0743202,0.6745653,1.604531,0.33172,1.1330002,2.4314436,1.6484107,0.9697298,7.3725046,1.616254,10.720632,8.1280192,1.252543,6.3381426,1.5007769,1.753101,11.4000034,0.1494329,0.8458329,2.8113003,0,2.09475,2.9565218,3.1809082,13.4575567,0.3298214,0.5347946,1.8448976,0.1992123,1.1446631,8.6207248,0.56686,1.4450307,1.8342198,8.5198504,19.5794439,8.2566453,11.6937454,0.18131,9.6394931,8.0743938,2.6528,0.1526927,3.1284347,6.9952528,4.7932812,0.3087333,7.7736446,1.5945695,1.6372525,3.7066611,1.2482004,1.1793802,1.14464,7.3260066,6.4638559,1.9061089,4.7991428,1.189412,1.0982998,1.9516794,12.4787204,0.9389301,4.0428707,1.6252064,0.639608,1.5740647,20.1055378,3.0551806,1.430206,0.1271181,0.6636262,0.02528,43.4094956,0.0536929,4.0150429,10.0946351,2.6040215,0.3929131,0.00314057,0.2591499,2.8519494,0,0.9190764,7.6123186,0.5261298,0.649325,10.0421926,0.29137,11.18215,0.8268083,5.2673985,0.5226401,4.0808587
s__Escherichia_coli,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Escherichia,9.3538235,0.0125003,0.3733921,0.00755,0.7719701,33.9885203,0.6928002,44.8100403,0.01318,31.3263945,0.1415436,3.6630138,45.3051775,0.275375,0.0597813,0.5363197,1.3132697,0.7903499,0.2431494,3.0679283,3.3723752,1.2122915,0.4613995,5.8051862,0.1553182,0,0.0497629,0.0877022,0.01705,1.3928428,16.9394411,6.2731694,6.1653957,0.5381999,0.11563,0.7434201,1.8833808,18.0116422,46.9799673,0.2163027,0.03494,0.1949774,0.14282,0.01888,0.2302536,1.0308099,0.00221,2.1109504,0.1291347,1.3946099,0.01129,0.0274604,0.1566901,0.09137,0.2298897,0,12.1062498,0.0327505,0.4425692,0.5747356,0.7515089,0.2642645,0.9703103,3.5472692,10.6664293,0.02318,1.9611958,0,12.5813633,3.5329861,0.0505274,0.4878809,0.0497172,0.1678498,0.0588507,0.5350622,0.02247,8.77021,0,19.2048781,0.5681267,0.8053102,0.9807335,0.120869,0.01518,3.489439,0.0716829,0.17365,0.6833569,0.00273026,0.5221714,4.7366448,0.1014211,1.150016,9.0230373,0.4041078,0.0931,0.02914,0.09803,0.04755,0.0409863,0.0311803,17.1794997,0.0117407,3.368739,0.23267,0.9633397,0.0716318,2.6052276,0.6172634,0.0160109,0.0257307,0,0.1558457,0,2.4817425,0.2613273,0.2371222,0.30072,4.8433937,5.2508404,0.3177971,0.0091502,0.2840985,0.3409148,4.3407748,17.2661048,0.0483803,0.135007,0.0190112,0.0922673,0.11842,0.0465354,0.5879885,0.00653,0,0,4.8976174,0.9129002,0.3826086
